original_name,public_name,public_path,pdf_id,public_id,page_count,strategy,pii_block_hits,recurring_header_footer_hits,flags,anchor_found,anchor_text
00819_Ecología_Austral_2023.pdf,case_0065.pdf,anonymized_pdfs/case_0065.pdf,65,case_0065,14,cover_swap_first_page,62,0,cover_swapped,,
00820_Ecología_Austral_2023.pdf,case_0066.pdf,anonymized_pdfs/case_0066.pdf,66,case_0066,13,cover_swap_first_page,9,0,cover_swapped,,
00835_FACES_2025.pdf,case_0067.pdf,anonymized_pdfs/case_0067.pdf,67,case_0067,21,cover_swap_first_page,46,20,cover_swapped,,
00838_FACES_2024.pdf,case_0068.pdf,anonymized_pdfs/case_0068.pdf,68,case_0068,29,cover_swap_first_page,29,81,cover_swapped,,
00841_Fundamentos_2026.pdf,case_0069.pdf,anonymized_pdfs/case_0069.pdf,69,case_0069,12,cover_swap_first_page,37,13,cover_swapped,,
00846_Fundamentos_2025.pdf,case_0070.pdf,anonymized_pdfs/case_0070.pdf,70,case_0070,15,cover_swap_first_page,46,39,cover_swapped,,
00850_Fundamentos_2025.pdf,case_0071.pdf,anonymized_pdfs/case_0071.pdf,71,case_0071,9,cover_swap_first_page,12,8,cover_swapped,,
00852_Lilloa_2025.pdf,case_0072.pdf,anonymized_pdfs/case_0072.pdf,72,case_0072,30,cover_swap_first_page,8,0,cover_swapped,,
00862_Marine_and_Fishery_Sciences_2026.pdf,case_0073.pdf,anonymized_pdfs/case_0073.pdf,73,case_0073,24,cover_swap_first_page,69,0,cover_swapped,,
00867_Marine_and_Fishery_Sciences_2025.pdf,case_0074.pdf,anonymized_pdfs/case_0074.pdf,74,case_0074,8,cover_swap_first_page,12,0,cover_swapped,,
00883_Pensum_2025.pdf,case_0075.pdf,anonymized_pdfs/case_0075.pdf,75,case_0075,17,cover_swap_first_page,37,16,cover_swapped,,
00901_Revista_Transporte_y_Territori_2025.pdf,case_0076.pdf,anonymized_pdfs/case_0076.pdf,76,case_0076,30,cover_swap_first_page,90,57,cover_swapped,,
